ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
50619,0,1,32,32,32,32,32,32,32,32,32,32
50619,1,1,0,0,0,0,0,0,0,0,0,0
50620,1,1,0,0,0,0,0,0,0,0,0,0
50620,2,1,0,12,0,19,0,17,21,0,0,0
50621,1,1,10,10,10,10,10,10,10,10,10,10
50622,0,1,0,0,0,0,0,0,0,0,0,0
50622,1,1,0,0,0,0,0,0,0,0,0,0
50623,1,1,0,0,0,0,0,0,0,0,0,0
50623,2,1,0,0,0,0,0,0,0,0,0,0
50624,1,1,0,0,0,0,0,0,0,0,0,0
50624,2,1,14,0,0,0,0,0,0,0,15,0
50625,1,1,0,0,0,0,10,0,0,0,0,0
50626,1,1,0,0,0,0,0,0,0,0,0,0
50626,2,1,9,9,9,9,9,9,9,9,9,9
50627,0,1,0,0,0,0,0,0,0,0,0,0
50627,1,1,0,0,0,0,0,0,0,0,0,0
50627,2,1,0,0,0,0,0,0,0,0,0,0
50628,1,1,0,0,0,0,0,0,0,0,0,0
50628,2,1,0,0,0,0,0,0,0,0,0,0
50629,0,1,0,8,0,0,0,0,0,0,0,0
50629,1,1,0,0,0,0,0,0,0,0,0,0
50630,1,1,0,0,0,0,0,0,0,0,0,0
50631,0,1,0,0,0,0,0,0,0,0,0,0
50631,1,1,0,0,0,0,0,0,0,0,0,0
50632,1,1,0,0,0,0,0,0,0,0,0,0
50632,2,1,0,0,2,0,0,0,0,0,0,0
50632,3,1,0,0,0,0,0,0,0,0,0,0
50633,1,1,0,0,0,0,0,0,0,0,30,0
50634,1,1,0,0,0,0,0,0,0,0,0,0
50634,2,1,0,0,0,0,0,0,0,0,0,0
50635,1,1,20,0,0,0,0,28,0,0,17,0
50635,2,1,0,0,0,0,0,0,0,0,0,0
50636,1,1,0,12,0,0,0,0,0,0,0,0
50636,2,1,0,0,0,0,0,0,0,0,0,0
50636,3,1,0,0,0,0,0,0,0,0,0,0
50637,1,1,0,0,0,0,0,0,0,0,0,0
50638,1,1,0,0,0,0,0,0,18,0,0,0
50639,1,1,0,0,0,0,0,0,0,0,0,0
50639,2,1,0,0,0,0,0,0,0,0,0,0
60001,1,1,0,0,38,0,0,0,17,0,0,0
60002,1,1,0,21,4,0,0,12,14,0,16,0
60003,0,1,0,0,0,0,0,0,0,0,0,0
60003,1,1,13,13,13,13,13,13,13,13,13,13
60004,1,1,0,0,0,0,0,0,0,0,0,0
60004,2,1,0,0,0,0,0,0,0,0,0,0
60005,1,1,0,0,0,0,0,0,0,0,14,0
60006,0,1,0,0,28,0,0,0,22,17,0,18
60006,1,1,0,10,18,0,0,7,0,13,0,0
60007,1,1,3,3,3,3,3,3,3,3,3,3
60008,1,1,6,6,6,6,6,6,6,6,6,6
60009,1,1,0,0,0,0,0,0,0,0,0,0
60010,1,1,0,0,0,0,0,0,0,0,0,0
60010,2,1,0,0,0,0,0,0,0,18,0,0
60011,0,1,12,12,12,12,12,12,12,12,12,12
60011,1,1,0,0,0,0,0,0,0,0,0,0
60012,1,1,23,23,23,23,23,23,23,23,23,23
60013,0,1,17,0,0,0,0,31,0,30,0,0
60013,1,1,13,13,13,13,13,13,13,13,13,13
60013,4,1,0,0,6,9,0,0,0,0,0,0
60014,1,1,5,0,0,16,0,0,0,0,23,0
60015,1,1,0,0,0,0,0,0,0,0,0,0
60015,2,1,0,0,0,0,0,0,0,10,0,0
60015,3,1,0,17,0,0,0,0,0,0,0,0
60015,4,1,0,0,0,0,0,0,0,0,0,0
60016,0,1,0,0,0,0,0,0,0,0,0,0
60016,1,1,0,0,0,0,0,0,0,0,0,0
60017,0,1,0,0,0,0,0,0,0,0,0,0
60017,1,1,0,0,0,0,0,0,0,0,0,0
60018,1,1,0,0,0,0,0,0,0,0,0,0
60018,2,1,0,0,0,0,0,0,0,0,0,0
60019,1,1,0,0,0,0,0,0,12,23,0,26
60020,1,1,26,26,26,26,26,26,26,26,26,26
60021,1,1,0,0,10,0,0,0,0,0,7,32
60022,1,1,0,12,24,0,18,12,0,0,13,0
60023,0,1,0,0,0,0,13,0,0,0,0,0
60023,1,1,0,0,0,0,23,0,0,0,0,0
60024,1,1,0,0,30,0,0,0,0,0,0,0
60025,1,1,7,22,0,0,0,0,0,0,0,0
60025,2,1,0,0,0,0,0,0,0,0,0,0
60026,0,1,0,0,0,4,15,49,0,0,25,25
60026,1,1,25,4,0,0,0,0,0,0,0,14
60027,0,1,0,0,23,0,0,7,0,26,0,19
60027,1,1,0,0,0,0,0,0,0,0,0,0
60028,1,1,24,24,24,24,24,24,24,24,24,24
60028,2,1,0,0,0,0,0,0,0,0,0,0
60029,0,1,16,22,19,24,32,21,20,47,23,0
60029,1,1,0,0,0,0,0,0,0,0,0,0
60030,1,1,22,20,10,0,0,19,8,13,22,21
60031,1,1,1,1,1,1,1,1,1,1,1,1
60032,1,1,0,0,0,0,0,0,0,0,0,0
60032,2,1,0,0,0,0,0,0,0,0,0,0
60033,1,1,25,25,25,25,25,25,25,25,25,25
60033,2,1,10,6,14,6,9,18,13,8,27,38
60034,1,1,7,20,26,12,14,21,11,5,10,40
60035,1,1,21,21,21,21,21,21,21,21,21,21
60035,2,1,7,7,7,7,7,7,7,7,7,7
60036,1,1,29,16,8,17,12,10,8,18,15,7
60037,0,1,0,0,0,0,0,0,0,0,0,0
60037,1,1,24,13,0,13,15,6,0,21,20,13
60038,0,1,0,0,0,0,0,0,0,0,0,0
60038,1,1,0,0,0,0,0,0,0,0,0,0
60039,1,1,0,0,0,0,0,0,0,0,0,0
60040,1,1,19,19,19,19,19,19,19,19,19,19
60041,0,1,0,0,0,0,0,0,0,0,14,0
60041,1,1,0,0,0,0,0,0,0,0,0,0
60042,1,1,0,0,0,0,0,0,0,0,0,0
60042,2,1,0,0,0,0,0,0,0,0,0,0
60043,1,1,21,33,20,25,15,22,8,19,9,16
60043,2,1,5,5,5,5,5,5,5,5,5,5
60043,3,1,0,0,28,0,0,0,0,0,0,0
60044,1,1,4,4,4,4,4,4,4,4,4,4
60044,2,1,0,0,0,0,0,0,0,0,0,0
60045,1,1,12,22,17,8,20,26,15,27,0,11
60046,1,1,0,0,0,0,0,0,0,0,0,0
60046,2,1,0,0,0,0,0,0,0,0,0,5
60046,3,1,0,0,0,0,0,0,0,0,0,0
60047,1,1,0,0,0,0,0,0,0,0,14,0
60047,2,1,0,0,0,0,0,0,0,0,0,0
60048,1,1,0,0,0,0,0,0,0,0,0,0
60049,1,1,0,0,0,0,0,0,0,0,0,0
60050,0,1,0,0,0,0,0,0,0,0,0,0
60050,1,1,0,0,0,0,0,0,0,0,0,0
60051,1,1,0,0,0,0,0,0,0,0,0,16
60053,1,1,0,0,0,0,0,0,0,0,7,0
60054,0,1,0,22,17,24,14,9,17,26,13,22
60054,1,1,0,0,0,0,0,0,0,0,0,0
60055,0,1,10,5,20,20,11,18,9,14,47,27
60055,1,1,0,0,0,16,17,0,0,0,0,0
60056,1,1,0,0,0,0,0,0,0,0,0,0
60057,1,1,0,0,0,0,0,0,0,0,0,0
60058,0,1,0,0,0,15,0,0,0,0,26,0
60058,1,1,11,13,0,6,9,4,13,3,0,0
60059,1,1,0,0,0,0,0,0,0,0,0,0
60060,1,1,12,14,15,24,8,11,11,31,14,11
60060,2,1,0,0,0,0,0,0,0,0,0,0
60060,3,1,0,0,0,0,0,0,0,0,0,0
60060,4,1,0,0,0,0,0,0,0,0,0,0
60061,0,1,26,5,10,0,0,10,39,27,28,8
60061,0,2,13,17,22,14,20,14,20,12,2,25
60061,0,3,31,23,0,26,22,24,27,12,23,25
60061,1,1,27,27,27,27,27,27,27,27,27,27
60062,1,1,0,0,0,0,0,22,18,10,0,0
60063,0,1,0,25,23,17,0,0,0,7,0,22
60063,1,1,0,0,0,0,0,0,0,0,0,0
60064,1,1,0,0,0,0,0,0,0,0,0,0
60064,2,1,0,0,0,0,0,0,0,0,0,0
60065,1,1,25,0,9,0,7,29,18,0,0,0
60065,2,1,0,0,0,0,0,0,0,0,0,0
60065,3,1,0,0,0,0,0,0,0,0,0,0
60065,4,1,0,0,0,0,0,0,0,0,0,0
60066,1,1,13,13,13,13,13,13,13,13,13,13
60067,1,1,0,0,0,0,0,0,0,0,0,0
60067,2,1,0,0,0,0,0,0,0,0,0,0
60068,0,1,0,0,0,0,0,0,0,0,0,0
60068,1,1,0,0,0,0,0,0,0,0,0,0
60069,1,1,0,0,0,0,0,0,0,0,0,0
60069,2,1,0,0,0,0,0,0,0,0,0,0
60070,0,1,0,0,0,0,0,0,0,0,0,0
60070,1,1,0,0,0,0,0,0,0,0,0,0
60071,0,1,0,0,0,0,0,0,0,0,0,0
60071,1,1,0,0,0,0,0,0,0,0,0,0
60072,0,1,0,0,0,0,0,0,0,0,0,0
60072,1,1,0,0,0,0,0,0,0,0,0,0
60073,1,1,0,0,0,0,0,0,0,0,0,0
60074,1,1,0,0,0,0,0,0,10,0,0,0
60074,2,1,0,0,0,0,0,12,0,0,0,0
60074,3,1,0,0,0,0,0,0,0,0,0,0
60074,4,1,0,0,0,0,0,0,0,0,0,0
60075,1,1,11,0,0,0,0,0,0,0,23,0
60076,1,1,5,24,0,24,0,22,16,0,6,8
60077,1,1,16,16,7,16,11,22,20,35,18,22
60078,0,1,21,21,21,21,21,21,21,21,21,21
60078,1,1,0,0,0,0,0,0,0,0,0,0
60079,1,1,0,0,0,0,0,0,0,0,0,0
60080,1,1,0,0,0,0,0,0,0,0,0,0
60080,2,1,0,0,0,0,0,0,0,0,0,0
60081,1,1,0,0,0,0,0,0,0,0,0,0
60081,2,1,0,0,0,0,0,0,0,0,0,0
60082,1,1,0,0,0,0,0,0,0,0,0,0
60082,2,1,0,0,0,0,0,0,0,0,0,0
60083,1,1,0,0,0,0,0,0,0,0,0,0
60084,1,1,0,9,0,0,0,21,0,0,0,0
60085,1,1,0,0,0,0,0,0,27,0,0,0
60086,1,1,0,0,0,0,0,0,0,0,0,0
60086,2,1,0,0,0,0,0,0,0,0,0,0
60087,1,1,0,0,0,0,0,0,0,0,0,0
60087,2,1,0,0,0,26,0,0,0,0,0,0
60088,1,1,0,0,0,0,0,0,0,0,0,0
60089,1,1,0,0,0,0,0,0,0,0,0,0
60089,2,1,0,0,0,0,0,0,0,0,0,0
60090,1,1,23,23,23,23,23,23,23,23,23,23
60091,1,1,0,0,0,27,0,11,19,0,0,0
60092,1,1,0,0,0,0,0,0,0,5,0,0
60092,2,1,11,5,17,8,9,11,9,9,27,30
60093,0,1,10,0,32,5,0,27,0,13,8,0
60093,1,1,0,0,0,0,0,0,0,0,16,0
60094,0,1,0,0,14,0,0,0,0,0,0,12
60094,1,1,0,0,0,0,0,0,0,0,0,0
60095,1,1,13,13,13,13,13,13,13,13,13,13
60095,2,1,0,0,0,0,0,0,0,0,0,0
60096,0,1,0,21,0,0,0,21,0,10,0,0
60096,1,1,0,0,0,0,0,0,0,0,0,0
60098,1,1,0,0,0,0,0,0,0,0,0,0
60098,2,1,0,0,0,0,0,0,0,0,0,15
60099,1,1,9,22,17,17,8,12,11,9,11,6
60100,1,1,16,16,16,16,16,16,16,16,16,16
60101,1,1,23,23,17,18,17,15,11,7,27,9
60102,1,1,12,16,21,25,6,12,19,16,32,16
60103,1,1,0,0,0,0,0,0,0,0,0,0
60104,0,1,32,22,19,18,12,14,14,4,23,16
60104,1,1,0,0,0,0,0,0,0,0,0,0
60105,1,1,0,0,0,0,0,0,0,0,0,0
60106,1,1,0,18,0,0,0,24,0,0,14,0
60106,2,1,0,0,0,0,0,0,0,0,0,0
60107,0,1,0,0,0,0,18,0,0,0,10,0
60107,1,1,12,0,0,12,0,0,23,14,0,5
60108,1,1,0,0,0,0,0,0,0,0,0,0
60110,0,1,0,0,0,0,0,0,0,0,0,0
60110,1,1,0,0,0,0,0,0,0,0,0,0
60110,2,1,0,25,0,0,0,25,0,0,0,0
60110,3,1,0,0,0,0,0,0,0,0,0,0
60110,4,1,0,0,17,0,0,4,0,12,0,0
60111,1,1,0,0,0,0,0,0,0,0,0,0
60111,2,1,0,0,0,0,0,0,0,0,0,0
60112,1,1,0,0,0,0,0,0,0,0,0,0
60112,2,1,0,13,0,16,11,0,0,0,0,0
60112,3,1,0,0,0,0,0,0,15,0,0,0
60113,1,1,0,0,0,0,0,0,0,0,0,0
60113,2,1,0,0,0,0,0,0,0,0,0,0
60114,1,1,26,26,26,26,26,26,26,26,26,26
60115,0,1,2,2,2,2,2,2,2,2,2,2
60115,1,1,0,0,0,0,0,0,0,0,0,0
60116,0,1,0,0,0,0,0,0,0,0,0,0
60116,1,1,23,0,5,11,19,0,0,9,23,0
60117,1,1,32,32,32,32,32,32,32,32,32,32
60118,1,1,0,0,0,0,0,0,0,0,0,0
60118,2,1,0,0,0,0,0,0,0,0,0,0
60119,1,1,15,0,0,0,7,0,0,0,0,0
60120,1,1,0,0,0,0,0,0,0,0,0,0
60121,1,1,0,0,0,0,0,0,0,0,0,0
60121,2,1,0,0,0,0,0,0,0,0,24,0
60121,3,1,0,0,0,0,0,0,0,0,0,0
60122,0,1,0,0,0,0,0,0,0,0,0,0
60122,1,1,27,12,14,0,9,22,0,12,0,14
60123,1,1,16,16,16,16,16,16,16,16,16,16
60124,1,1,0,0,0,0,0,0,0,0,0,0
60126,1,1,0,0,0,0,0,0,0,0,0,33
60127,1,1,5,12,34,8,0,11,4,22,20,21
60128,0,1,0,0,0,0,0,0,0,0,0,0
60128,0,2,0,0,32,0,0,0,8,0,0,0
60128,1,1,0,0,0,0,0,0,0,0,0,0
60129,1,1,7,7,7,7,7,7,7,7,7,7
60130,1,1,19,19,19,19,19,19,19,19,19,19
60131,0,1,20,5,0,0,0,0,0,0,0,0
60131,1,1,0,0,0,33,0,0,0,0,0,0
60132,1,1,0,21,0,0,0,0,0,0,0,0
60133,1,1,0,0,0,0,0,0,0,0,0,0
60134,0,1,18,0,20,0,0,0,0,0,0,7
60134,1,1,0,0,0,0,0,0,0,0,0,0
60135,1,1,0,0,0,0,0,0,0,0,0,0
60135,2,1,0,0,0,0,0,0,0,0,0,0
60136,1,1,14,12,11,10,27,15,10,18,20,14
60137,1,1,27,31,0,19,15,21,16,5,14,10
60138,1,1,6,6,6,6,6,6,6,6,6,6
60139,1,1,0,0,16,2,28,9,0,0,0,0
60139,2,1,0,0,0,0,0,0,0,0,0,0
60140,0,1,22,22,22,22,22,22,22,22,22,22
60140,1,1,0,0,0,0,0,0,0,0,0,0
60141,1,1,0,12,19,0,12,0,0,6,24,0
60142,1,1,20,20,20,20,20,20,20,20,20,20
60143,1,1,0,0,0,0,0,0,0,0,0,0
60144,0,1,0,14,21,0,0,32,0,0,26,29
60144,1,1,0,0,0,0,0,0,12,7,0,27
60145,1,1,0,0,0,0,0,0,0,0,0,0
60146,1,1,30,37,20,5,0,25,36,28,29,0
60147,0,1,0,0,15,0,0,0,0,40,19,6
60147,1,1,0,0,0,0,0,0,0,0,0,0
60148,0,1,0,0,0,0,0,0,0,0,0,0
60148,1,1,0,0,0,0,0,0,26,0,0,0
60149,0,1,0,0,0,0,0,0,0,0,0,0
60149,1,1,0,0,0,0,0,0,0,0,0,0
60150,1,1,0,0,0,0,0,0,0,7,0,0
60150,2,1,0,0,0,0,0,0,0,0,0,0
60151,1,1,0,0,0,0,0,0,0,0,0,0
60152,1,1,19,19,19,19,19,19,19,19,19,19
60152,2,1,0,0,0,0,3,11,0,0,0,0
60153,1,1,19,19,19,19,19,19,19,19,19,19
60153,2,1,0,0,0,0,0,0,0,0,0,0
60153,3,1,0,0,0,0,0,0,0,0,0,0
60153,4,1,0,0,0,0,0,0,0,14,0,0
60154,1,1,0,0,0,0,0,0,0,0,0,0
60155,0,1,0,0,0,0,0,0,0,0,0,0
60155,1,1,0,0,0,0,0,0,0,0,0,0
60156,1,1,0,0,0,0,0,0,0,0,0,0
60157,1,1,7,6,17,8,0,21,23,3,3,0
60158,1,1,18,18,18,18,18,18,18,18,18,18
60159,0,1,0,0,0,0,0,0,0,0,0,0
60159,1,1,0,0,0,0,0,0,0,0,0,0
60160,1,1,0,0,0,0,0,0,0,0,0,0
60160,2,1,0,0,0,11,0,0,0,0,0,0
60161,0,1,0,0,0,19,12,0,0,15,0,38
60161,1,1,23,0,0,0,0,0,0,0,0,21
60162,1,1,0,0,0,0,0,0,0,0,0,0
60162,2,1,0,0,0,0,0,0,0,0,0,0
60162,3,1,0,0,0,0,0,0,0,0,0,0
60163,1,1,0,0,0,0,0,0,0,0,0,0
60163,2,1,0,0,0,0,0,0,0,0,0,0
60164,1,1,0,0,0,30,0,0,0,0,0,0
60164,2,1,0,0,0,0,0,0,9,0,31,0
60165,1,1,0,8,0,0,0,17,0,0,0,32
60166,1,1,24,18,19,18,15,11,0,37,38,14
60166,2,1,0,0,10,0,0,0,21,0,0,0
60167,1,1,0,0,0,0,0,0,0,0,6,0
60167,2,1,19,19,19,19,19,19,19,19,19,19
60168,1,1,0,0,0,0,0,0,0,13,13,13
60169,0,1,15,15,15,15,15,15,15,15,15,15
60169,1,1,0,0,0,0,0,0,0,0,0,0
60169,2,1,0,0,0,12,0,0,0,0,12,0
60170,1,1,12,0,0,0,0,0,7,17,23,0
60170,2,1,0,0,0,9,0,0,0,0,0,0
60170,3,1,0,0,0,0,12,0,0,0,0,0
60171,1,1,10,8,24,9,14,6,16,42,23,21
60173,0,1,0,0,0,0,0,0,0,0,0,0
60173,1,1,40,0,28,0,0,0,0,0,0,0
60174,1,1,0,0,0,0,0,0,0,0,0,0
60175,1,1,0,0,0,0,0,0,0,0,0,0
60175,2,1,0,15,0,0,0,0,0,0,0,0
60176,1,1,0,0,0,0,0,0,0,0,0,0
60177,1,1,0,22,0,0,0,0,0,19,0,0
60177,2,1,0,0,0,0,0,0,0,0,0,0
60178,1,1,12,14,0,21,0,0,0,17,0,30
60179,1,1,0,0,0,0,0,0,0,0,0,0
60180,1,1,6,0,0,19,24,16,0,0,10,11
60181,0,1,0,0,0,0,0,0,0,0,0,0
60181,1,1,0,0,0,0,0,0,0,0,0,0
60182,0,1,0,0,0,0,0,0,0,0,0,0
60182,1,1,0,0,0,0,0,0,0,0,0,0
60183,0,1,25,0,0,4,23,0,0,34,27,0
60183,1,1,14,9,6,7,2,11,12,13,0,0
60184,1,1,0,0,0,0,0,0,0,0,0,0
60184,2,1,0,0,0,0,0,0,0,0,0,0
60185,0,1,0,0,0,0,26,15,0,20,14,20
60185,1,1,0,0,0,0,0,0,0,15,0,24
60186,1,1,0,0,18,32,0,0,0,0,0,0
60187,1,1,0,0,0,0,0,0,0,0,0,0
60187,2,1,0,0,0,0,0,5,0,0,0,0
60188,0,1,10,0,0,0,0,13,0,25,25,20
60188,1,1,0,0,0,0,0,0,0,0,0,0
60190,1,1,20,20,20,20,20,20,20,20,20,20
60190,2,1,0,0,0,0,0,0,0,0,0,0
60191,1,1,0,0,0,0,17,0,14,6,8,0
60192,1,1,8,0,0,0,28,16,0,0,0,12
60193,0,1,20,20,20,20,20,20,20,20,20,20
60193,1,1,0,0,0,0,0,0,14,0,0,0
60194,1,1,0,0,0,0,0,0,0,0,0,0
60195,0,1,49,19,16,31,0,0,0,17,22,0
60195,1,1,24,0,3,15,22,3,12,21,4,15
60196,1,1,0,0,0,0,0,0,0,0,0,0
60196,2,1,0,0,0,0,0,0,0,0,0,0
60197,1,1,14,7,5,10,19,19,13,8,0,0
60198,1,1,14,6,20,9,33,6,11,6,10,14
60199,1,1,0,0,0,0,0,0,0,0,0,0
60200,1,1,0,0,0,0,0,0,0,0,0,0
60200,2,1,0,0,0,0,0,0,0,0,0,0
60201,1,1,6,6,6,6,6,6,6,6,6,6
60202,1,1,22,23,18,15,19,20,27,44,20,10
60203,1,1,0,0,0,0,0,16,0,0,0,0
60203,2,1,0,0,0,14,0,0,0,0,0,0
60203,3,1,0,23,7,0,0,7,0,0,0,14
60204,1,1,0,0,0,0,0,0,0,0,0,0
60205,1,1,0,0,0,0,0,0,0,0,0,0
60205,2,1,0,0,0,0,0,0,0,0,0,0
60206,1,1,9,9,9,9,9,9,9,9,9,9
60207,1,1,9,0,0,0,12,0,0,0,12,0
60207,2,1,0,0,0,0,0,0,0,0,0,0
60208,0,1,0,0,0,0,19,0,0,8,0,2
60208,1,1,0,0,0,0,0,0,0,0,0,0
60208,2,1,0,0,0,0,0,0,0,0,0,0
60209,1,1,16,16,16,16,16,16,16,16,16,16
60210,1,1,0,0,0,0,0,0,0,0,0,0
60210,2,1,0,0,0,0,0,0,0,0,16,0
60211,1,1,18,18,18,18,18,18,18,18,18,18
60212,1,1,0,0,19,16,0,0,0,0,20,12
60213,1,1,15,19,9,40,25,19,31,21,20,15
60214,0,1,23,0,0,0,31,0,39,0,0,0
60214,1,1,0,0,0,0,0,0,0,0,0,0
60214,2,1,0,19,0,0,0,0,0,0,0,34
60214,3,1,0,0,0,0,0,0,0,0,0,28
60215,1,1,0,0,0,0,0,0,0,0,0,0
60215,2,1,0,0,11,0,0,0,0,0,0,0
60216,0,1,0,0,0,0,0,0,0,0,0,0
60216,1,1,0,0,30,0,0,0,0,0,0,20
60216,2,1,0,0,0,0,0,0,0,0,0,0
60217,1,1,0,0,0,0,0,0,0,0,0,0
60217,2,1,0,4,0,0,0,0,0,0,0,0
60217,3,1,0,0,0,0,0,0,0,0,0,0
60218,1,1,8,0,0,0,0,0,0,13,9,0
60218,2,1,6,0,0,0,0,0,0,0,0,23
60218,3,1,0,0,0,0,0,0,0,0,0,0
60218,4,1,0,0,0,0,0,0,0,0,0,0
60218,5,1,0,0,0,0,0,0,0,0,0,0
60218,6,1,0,0,0,0,0,0,0,0,0,0
60219,1,1,0,0,0,8,0,0,0,0,0,0
60219,2,1,0,0,0,0,0,0,0,0,0,0
60220,1,1,12,5,10,0,0,28,0,0,0,5
60220,2,1,0,0,0,0,0,0,0,0,0,0
60221,1,1,12,29,12,17,16,20,15,18,40,15
60222,1,1,0,0,0,0,0,0,0,0,2,5
60223,1,1,0,0,0,4,20,0,0,0,0,0
60224,0,1,6,0,0,0,10,0,5,37,0,0
60224,1,1,0,0,0,0,0,0,0,0,0,0
60224,2,1,0,0,0,0,0,0,0,0,0,0
60224,3,1,0,0,0,0,0,0,0,0,0,0
60225,1,1,0,0,0,0,0,0,0,0,0,0
60225,2,1,0,0,0,0,0,0,0,0,0,0
60226,0,1,0,0,0,0,0,0,0,0,0,0
60226,1,1,0,0,0,0,0,8,0,0,0,0
60227,1,1,0,0,0,0,0,0,0,0,0,0
60227,2,1,0,0,0,0,0,0,0,0,0,0
60228,0,1,0,0,0,0,0,0,0,0,0,0
60228,1,1,10,22,29,0,4,10,18,0,13,6
60229,0,1,17,17,17,17,17,17,17,17,17,17
60230,0,1,0,0,0,0,13,0,0,9,0,4
60230,0,2,10,0,0,0,0,0,0,0,0,0
60230,0,3,0,0,0,0,0,0,0,0,0,0
60230,1,1,7,0,0,10,0,13,7,13,16,0
60230,3,1,0,0,0,0,0,0,0,0,0,0
60231,1,1,0,0,0,0,0,0,0,9,0,0
60231,2,1,0,0,0,0,0,0,0,0,0,0
60232,1,1,2,2,2,2,2,2,2,2,2,2
60233,1,1,0,0,0,0,0,0,0,0,0,0
60233,2,1,0,0,0,19,13,0,9,0,0,0
60233,3,1,0,0,0,0,0,0,0,0,0,0
60234,1,1,0,0,0,0,0,0,0,0,7,0
60234,2,1,0,0,0,0,0,0,0,0,0,0
60235,1,1,0,0,0,0,0,0,0,0,0,0
60236,1,1,0,0,0,0,0,0,0,0,0,0
60237,1,1,0,0,0,0,0,0,0,0,0,0
60238,0,1,0,0,0,0,0,0,0,0,0,0
60238,1,1,0,0,0,0,0,0,0,0,0,0
60239,1,1,0,0,0,0,0,0,0,0,0,0
60239,2,1,0,0,0,0,0,0,0,0,0,0
60240,1,1,5,0,0,6,0,15,7,17,13,7
60241,0,1,0,0,0,0,0,0,0,0,0,0
60241,1,1,0,0,0,0,0,0,0,0,0,0
60242,1,1,33,0,0,0,0,0,0,0,0,0
60242,2,1,27,0,0,0,0,0,0,0,0,0
60243,1,1,8,8,8,8,8,8,8,8,8,8
60243,2,1,0,12,0,0,0,0,0,0,0,0
60244,0,1,20,20,20,20,20,20,20,20,20,20
60244,1,1,0,0,0,0,0,0,0,0,0,0
60245,1,1,18,18,18,18,18,18,18,18,18,18
60246,1,1,0,0,0,0,0,0,0,0,0,0
60246,2,1,0,0,0,0,0,0,0,0,0,0
60247,1,1,0,0,24,0,0,0,0,0,18,0
60247,2,1,0,0,0,0,0,0,0,0,0,0
60247,3,1,0,0,0,0,0,0,0,0,0,0
60248,1,1,0,0,0,0,0,0,0,0,0,0
60249,1,1,43,43,43,43,43,43,43,43,43,43
60249,2,1,0,0,0,0,0,0,0,0,0,0
60250,1,1,0,0,0,0,0,0,0,0,0,0
60252,0,1,0,0,0,0,0,0,0,0,0,0
60252,1,1,2,12,23,6,13,19,27,7,9,20
60253,1,1,0,0,0,0,0,0,0,0,0,0
60254,0,1,0,0,0,9,0,0,26,0,0,13
60254,1,1,0,0,11,0,0,0,0,0,0,0
60255,1,1,13,3,0,0,18,29,0,12,19,0
60255,2,1,0,0,0,0,0,0,0,29,0,0
60256,0,1,0,0,0,0,0,0,0,0,0,0
60256,1,1,0,0,25,20,13,0,4,0,0,0
60257,1,1,29,29,29,29,29,29,29,29,29,29
60258,1,1,14,21,24,0,9,0,27,20,0,18
60259,1,1,0,0,0,0,0,0,0,0,0,0
60259,2,1,0,0,16,0,20,0,0,0,0,0
60260,1,1,0,0,0,0,19,0,0,0,0,0
60260,2,1,8,26,0,0,0,10,4,7,10,0
60261,1,1,0,0,0,0,0,0,0,0,0,0
60261,2,1,0,0,0,0,0,0,0,0,0,0
60263,0,1,16,16,16,16,16,16,16,16,16,16
60263,1,1,27,12,22,20,21,23,18,10,17,12
60264,1,1,0,0,0,16,0,0,0,0,0,9
60264,2,1,0,0,0,0,0,0,0,0,0,0
60264,3,1,0,0,0,0,0,0,0,0,0,0
60265,1,1,0,0,0,0,0,0,0,0,0,0
60266,1,1,0,16,14,0,13,0,0,0,7,0
60266,2,1,0,0,0,0,0,0,0,0,0,0
60267,1,1,0,0,0,0,3,28,0,11,0,0
60267,2,1,0,0,0,12,0,0,0,0,0,0
60267,3,1,0,0,0,0,0,15,0,0,0,0
60267,4,1,0,0,0,0,0,0,0,0,0,0
60268,1,1,1,1,1,1,1,1,1,1,1,1
60268,2,1,0,0,0,0,0,0,0,0,0,0
60269,1,1,22,8,0,18,0,18,0,0,20,0
60270,1,1,0,0,0,0,0,0,0,0,0,0
60270,2,1,0,0,0,0,0,0,0,11,0,0
60271,0,1,14,14,14,14,14,14,14,14,14,14
60271,1,1,0,0,0,0,0,0,0,0,0,0
60272,0,1,0,0,0,0,0,0,0,0,0,0
60272,1,1,0,0,0,0,0,0,32,0,0,0
60273,1,1,32,13,17,16,2,8,19,5,16,23
60273,2,1,0,0,0,0,0,0,0,0,0,0
60274,1,1,0,0,0,0,0,0,0,17,24,0
60274,2,1,0,0,0,0,0,32,0,0,32,0
60275,1,1,0,0,34,0,0,0,0,0,0,0
60276,1,1,30,30,30,30,30,30,30,30,30,30
60276,2,1,0,0,0,0,0,0,0,0,0,0
60277,0,1,0,0,0,0,0,0,0,0,0,0
60277,1,1,16,0,0,0,0,0,0,0,0,0
60278,0,1,25,25,25,25,25,25,25,25,25,25
60278,2,1,0,0,0,0,27,0,0,0,0,4
60279,1,1,26,16,36,0,25,0,8,15,0,0
60280,1,1,0,0,0,0,23,8,11,0,20,21
60280,2,1,0,0,0,0,0,0,0,0,0,0
60281,1,1,0,0,8,10,0,0,0,0,0,0
60281,2,1,0,0,10,19,6,0,0,0,0,0
60282,1,1,0,0,0,0,0,0,0,0,0,0
